TransactionID,Items
1,"""Azucar"""
2,"""Huevos, Panales, Mantequilla, Yogur, Cebolla, Papas fritas, Cerveza, Leche, Refresco"""
3,"""Azucar, Manzanas, Huevos, Queso, Papas fritas, Cerveza, Leche, Chocolate, Salsa de Tomate"""
4,"""Manzanas, Azucar, Panales, Mantequilla, Platanos, Papas fritas, Pasta, Salsa de Tomate, Cafe"""
5,"""Yogur"""
6,"""Azucar, Mantequilla, Cebolla, Papas fritas, Salsa de Tomate, Pan"""
7,"""Azucar, Huevos, Queso, Cebolla, Yogur, Detergente, Chocolate, Salsa de Tomate, Cafe"""
8,"""Pasta"""
9,"""Manzanas, Papel Higienico, Chocolate"""
10,"""Panales, Leche"""
11,"""Mantequilla, Yogur, Cebolla, Leche, Refresco, Pasta, Salsa de Tomate"""
12,"""Azucar, Yogur"""
13,"""Huevos, Mantequilla, Yogur, Detergente, Papas fritas, Chocolate, Refresco, Pan"""
14,"""Manzanas, Huevos, Azucar, Yogur, Platanos, Leche, Chocolate, Refresco"""
15,"""Detergente, Mantequilla, Salsa de Tomate, Refresco"""
16,"""Azucar, Huevos, Panales, Cebolla, Cerveza, Refresco, Salsa de Tomate, Pan"""
17,"""Panales, Papel Higienico, Mantequilla, Cebolla, Detergente, Leche, Chocolate, Refresco, Pasta, Salsa de Tomate"""
18,"""Azucar, Mantequilla, Papas fritas, Cerveza, Leche, Salsa de Tomate"""
19,"""Platanos, Papas fritas"""
20,"""Huevos, Mantequilla, Yogur, Platanos, Cerveza, Refresco, Salsa de Tomate, Pan"""
21,"""Azucar, Papel Higienico, Cebolla, Papas fritas, Cerveza, Leche, Cafe"""
22,"""Papas fritas, Salsa de Tomate, Cerveza"""
23,"""Panales, Mantequilla, Platanos, Leche, Chocolate, Refresco, Salsa de Tomate, Pan"""
24,"""Leche, Cafe"""
25,"""Manzanas, Queso, Detergente, Papas fritas, Cerveza, Chocolate"""
26,"""Manzanas, Huevos, Azucar, Refresco, Pasta, Salsa de Tomate, Cafe"""
27,"""Papel Higienico, Yogur, Detergente, Papas fritas, Chocolate"""
28,"""Papas fritas, Salsa de Tomate, Queso, Chocolate"""
29,"""Panales, Papel Higienico, Cebolla, Papas fritas, Cerveza, Refresco"""
30,"""Azucar, Huevos, Papel Higienico, Yogur, Platanos, Papas fritas, Cerveza, Leche"""
31,"""Azucar, Panales, Yogur, Platanos, Papas fritas, Cerveza, Refresco, Salsa de Tomate, Pan"""
32,"""Mantequilla, Queso, Cebolla, Detergente, Platanos, Chocolate, Pasta, Salsa de Tomate"""
33,"""Panales, Papas fritas, Cerveza, Leche, Cafe"""
34,"""Azucar, Queso, Detergente, Refresco, Pasta, Cafe"""
35,"""Refresco, Pasta, Salsa de Tomate"""
